Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
461,Other Table,Wood,Aggregate,83 AVENUE NW,3270,LAURIER HEIGHTS,WARD 05,53.5164667,-113.5690869,"(53.5164666961262, -113.56908689592)"
295,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,WARD 04,53.57871709,-113.3696967,"(53.5787170918049, -113.369696667014)"
140,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.53287438,-113.5171899,"(53.5328743816844, -113.517189914531)"
13,Square Picnic Table,Wood,Aggregate,189A STREET NW,4220,JAMIESON PLACE,WARD 05,53.49024606,-113.6496961,"(53.4902460605314, -113.649696091432)"
248,Square Picnic Table,Wood,Aggregate,66 STREET NW,6510,MILL WOODS PARK,WARD 11,53.45502705,-113.4360479,"(53.4550270455295, -113.436047948875)"
126,Square Picnic Table,Wood,Metal,162 AVENUE NW,3180,DUNLUCE,WARD 03,53.62362186,-113.524485,"(53.6236218606825, -113.524484955603)"
80,Round Picnic Table,Metal,Metal,CARTER CREST ROAD NW,5130,CARTER CREST,WARD 09,53.46440929,-113.57532,"(53.4644092853387, -113.575319969328)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.50997269,-113.5511919,"(53.5099726873459, -113.551191906287)"
479,Square Picnic Table,Wood,Aggregate,124 STREET NW,3440,WESTMOUNT,WARD 06,53.55234335,-113.5356354,"(53.5523433466681, -113.535635399607)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.55805839,-113.4059016,"(53.5580583877554, -113.40590156789)"
