Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
461,Other Table,Wood,Aggregate,83 AVENUE NW,3270,LAURIER HEIGHTS,WARD 05,53.5165223802605,-113.569750786639,"(53.5165223802605, -113.569750786639)"
295,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,WARD 04,53.5839577828967,-113.374022846261,"(53.5839577828967, -113.374022846261)"
140,Square Picnic Table,Wood,Aggregate,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5375978382317,-113.532530273828,"(53.5375978382317, -113.532530273828)"
13,Square Picnic Table,Wood,Aggregate,190 STREET NW,4220,JAMIESON PLACE,WARD 05,53.4902927168921,-113.650700062216,"(53.4902927168921, -113.650700062216)"
248,Square Picnic Table,Wood,Aggregate,28 AVENUE NW,6510,MILL WOODS PARK,WARD 11,53.4564714878612,-113.436693475957,"(53.4564714878612, -113.436693475957)"
126,Square Picnic Table,Wood,Metal,162 AVENUE NW,3180,DUNLUCE,WARD 03,53.6234335611089,-113.525136887513,"(53.6234335611089, -113.525136887513)"
80,Square Picnic Table,Wood,Metal,CARTER CREST ROAD NW,5130,CARTER CREST,WARD 09,53.4645881848099,-113.575350932939,"(53.4645881848099, -113.575350932939)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.509841396281,-113.552508079109,"(53.509841396281, -113.552508079109)"
479,Square Picnic Table,Composite,Metal,109A AVENUE NW,3440,WESTMOUNT,WARD 06,53.5550982330779,-113.541591921232,"(53.5550982330779, -113.541591921232)"
246,Square Picnic Table,Wood,Metal,CAPILANO PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5613715598335,-113.422024343977,"(53.5613715598335, -113.422024343977)"
51,Square Picnic Table,Wood,Aggregate,165 STREET NW,4590,WEST MEADOWLARK PARK,WARD 01,53.5295512866545,-113.606817176039,"(53.5295512866545, -113.606817176039)"
104,Square Picnic Table,Wood,Aggregate,DOVERCOURT AVENUE NW,3170,DOVERCOURT,WARD 02,53.5758334741536,-113.559430445554,"(53.5758334741536, -113.559430445554)"
242,Square Picnic Table,Wood,Aggregate,MILLBOURNE ROAD EAST NW,6480,MICHAELS PARK,WARD 11,53.4797840118821,-113.447939881551,"(53.4797840118821, -113.447939881551)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5278568413514,-113.505513347449,"(53.5278568413514, -113.505513347449)"
123,Square Picnic Table,Wood,Metal,TWIN BROOKS WAY NW,5511,TWIN BROOKS,WARD 09,53.4486092225029,-113.538139745611,"(53.4486092225029, -113.538139745611)"
277,Square Picnic Table,Wood,Aggregate,25A AVENUE NW,6770,WEINLOS,WARD 12,53.4567202485899,-113.411603182178,"(53.4567202485899, -113.411603182178)"
113,Square Picnic Table,Wood,Metal,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.532957785574,-113.534425428934,"(53.532957785574, -113.534425428934)"
108,Square Picnic Table,Wood,Metal,WHITEMUD DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.4856112415988,-113.556886537875,"(53.4856112415988, -113.556886537875)"
